dataset,condition,split,num_rows,num_image_clusters,risk,risk_label,method,method_label,aurc,oracle_aurc,random_aurc,excess_aurc,normalized_aurc,numerical_reference,absolute_error_mean,absolute_error_median,absolute_error_p95,absolute_error_max,spearman_rho,kendall_tau_b,exact_match_fraction
fives,clipseg-target,test,200,200,risk_dice,Dice risk,confidence_mean_max_probability,Mean max probability,0.86474774854,0.817972654008,0.875340461911,0.0467750945323,0.815354398967,,,,,,,,
fives,clipseg-target,test,200,200,risk_dice,Dice risk,confidence_negative_entropy,Negative entropy,0.85292500569,0.817972654008,0.875340461911,0.0349523516823,0.60926768793,,,,,,,,
fives,clipseg-target,test,200,200,risk_dice,Dice risk,confidence_dice_exact,Dice-Exact,0.873113220622,0.817972654008,0.875340461911,0.0551405666139,0.961176113052,,,,,,,,
fives,clipseg-target,test,200,200,risk_dice,Dice risk,confidence_qfr_entropy,QFR-Entropy,0.876203713179,0.817972654008,0.875340461911,0.0582310591704,1.01504765999,,,,,,,,
fives,clipseg-target,test,200,200,risk_dice,Dice risk,confidence_plm10_entropy,PLM-10/PLA-10-Entropy,0.906887390077,0.817972654008,0.875340461911,0.0889147360693,1.54990646009,,,,,,,,
fives,clipseg-target,test,200,200,risk_dice,Dice risk,confidence_mmmc_entropy,MMMC-Entropy,0.848926909936,0.817972654008,0.875340461911,0.0309542559281,0.539575365696,,,,,,,,
fives,clipseg-target,test,200,200,risk_dice,Dice risk,confidence_foreground_entropy,Foreground entropy,0.850856760012,0.817972654008,0.875340461911,0.0328841060039,0.573215313715,,,,,,,,
fives,clipseg-target,test,200,200,risk_dice,Dice risk,confidence_dice_m2,Dice-M2,0.871258690891,0.817972654008,0.875340461911,0.0532860368831,0.92884910251,confidence_dice_exact,0.127143295233,0.128741461501,0.166713527728,0.19465637207,0.953088897554,0.827040869585,0
fives,clipseg-target,test,200,200,risk_dice,Dice risk,confidence_dice_m8,Dice-M8,0.873173014015,0.817972654008,0.875340461911,0.055200360007,0.962218394346,confidence_dice_exact,0.0098873604803,0.00632527229838,0.0327511637653,0.0617438554764,0.998589542163,0.973545554864,0
fives,clipseg-target,test,200,200,risk_dice,Dice risk,confidence_dice_m32,Dice-M32,0.873101027796,0.817972654008,0.875340461911,0.0551283737877,0.960963575277,confidence_dice_exact,0.000926831095036,0.000430620394634,0.00432713627815,0.0126448869705,0.9999651239,0.997888749959,0
fives,clipseg-target,test,200,200,risk_dice,Dice risk,confidence_nhd_m2,nHD-M2,0.843492613172,0.817972654008,0.875340461911,0.0255199591636,0.444848079379,,,,,,,,
fives,clipseg-target,test,200,200,risk_dice,Dice risk,confidence_nhd_m8,nHD-M8,0.858488292648,0.817972654008,0.875340461911,0.0405156386401,0.706243451188,,,,,,,,
fives,clipseg-target,test,200,200,risk_dice,Dice risk,confidence_nhd_m32,nHD-M32,0.860938725952,0.817972654008,0.875340461911,0.042966071944,0.748957882739,,,,,,,,
fives,clipseg-target,test,200,200,risk_dice,Dice risk,confidence_nhd95_m2,nHD95-M2,0.845050410036,0.817972654008,0.875340461911,0.0270777560278,0.472002626871,,,,,,,,
fives,clipseg-target,test,200,200,risk_dice,Dice risk,confidence_nhd95_m8,nHD95-M8,0.846293517026,0.817972654008,0.875340461911,0.0283208630183,0.493671695918,,,,,,,,
fives,clipseg-target,test,200,200,risk_dice,Dice risk,confidence_nhd95_m32,nHD95-M32,0.842897499599,0.817972654008,0.875340461911,0.0249248455911,0.43447442917,,,,,,,,
fives,clipseg-target,test,200,200,risk_nhd,Normalized penalized Hausdorff risk,confidence_sdc,SDC,0.312552611946,0.264015532161,0.379099860849,0.0485370797854,0.421752295372,,,,,,,,
fives,clipseg-target,test,200,200,risk_nhd,Normalized penalized Hausdorff risk,confidence_mean_max_probability,Mean max probability,0.358112956666,0.264015532161,0.379099860849,0.094097424505,0.817638905123,,,,,,,,
fives,clipseg-target,test,200,200,risk_nhd,Normalized penalized Hausdorff risk,confidence_negative_entropy,Negative entropy,0.335183692772,0.264015532161,0.379099860849,0.0711681606107,0.618400102101,,,,,,,,
fives,clipseg-target,test,200,200,risk_nhd,Normalized penalized Hausdorff risk,confidence_dice_exact,Dice-Exact,0.489858667061,0.264015532161,0.379099860849,0.2258431349,1.9624143224,,,,,,,,
fives,clipseg-target,test,200,200,risk_nhd,Normalized penalized Hausdorff risk,confidence_qfr_entropy,QFR-Entropy,0.489589468999,0.264015532161,0.379099860849,0.225573936838,1.96007518496,,,,,,,,
fives,clipseg-target,test,200,200,risk_nhd,Normalized penalized Hausdorff risk,confidence_plm10_entropy,PLM-10/PLA-10-Entropy,0.501305186165,0.264015532161,0.379099860849,0.237289654004,2.06187633633,,,,,,,,
fives,clipseg-target,test,200,200,risk_nhd,Normalized penalized Hausdorff risk,confidence_mmmc_entropy,MMMC-Entropy,0.314195687981,0.264015532161,0.379099860849,0.05018015582,0.436029443732,,,,,,,,
fives,clipseg-target,test,200,200,risk_nhd,Normalized penalized Hausdorff risk,confidence_foreground_entropy,Foreground entropy,0.33402849257,0.264015532161,0.379099860849,0.0700129604095,0.60836224365,,,,,,,,
fives,clipseg-target,test,200,200,risk_nhd,Normalized penalized Hausdorff risk,confidence_dice_m2,Dice-M2,0.486938461128,0.264015532161,0.379099860849,0.222922928967,1.93703983426,,,,,,,,
fives,clipseg-target,test,200,200,risk_nhd,Normalized penalized Hausdorff risk,confidence_dice_m8,Dice-M8,0.490090936826,0.264015532161,0.379099860849,0.226075404665,1.96443257951,,,,,,,,
fives,clipseg-target,test,200,200,risk_nhd,Normalized penalized Hausdorff risk,confidence_dice_m32,Dice-M32,0.489879222521,0.264015532161,0.379099860849,0.22586369036,1.96259293455,,,,,,,,
fives,clipseg-target,test,200,200,risk_nhd,Normalized penalized Hausdorff risk,confidence_nhd_m2,nHD-M2,0.336315746166,0.264015532161,0.379099860849,0.0723002140049,0.628236831455,,,,,,,,
fives,clipseg-target,test,200,200,risk_nhd,Normalized penalized Hausdorff risk,confidence_nhd_m8,nHD-M8,0.396076125351,0.264015532161,0.379099860849,0.13206059319,1.14751152217,,,,,,,,
fives,clipseg-target,test,200,200,risk_nhd,Normalized penalized Hausdorff risk,confidence_nhd_m32,nHD-M32,0.405526885221,0.264015532161,0.379099860849,0.14151135306,1.22963182454,,,,,,,,
fives,clipseg-target,test,200,200,risk_nhd,Normalized penalized Hausdorff risk,confidence_nhd95_m2,nHD95-M2,0.34176216411,0.264015532161,0.379099860849,0.0777466319487,0.675562284068,,,,,,,,
fives,clipseg-target,test,200,200,risk_nhd,Normalized penalized Hausdorff risk,confidence_nhd95_m8,nHD95-M8,0.35256798792,0.264015532161,0.379099860849,0.0885524557595,0.769457116961,,,,,,,,
fives,clipseg-target,test,200,200,risk_nhd,Normalized penalized Hausdorff risk,confidence_nhd95_m32,nHD95-M32,0.343026404372,0.264015532161,0.379099860849,0.0790108722114,0.686547622185,,,,,,,,
fives,clipseg-target,test,200,200,risk_nhd95,Normalized penalized HD95 risk,confidence_sdc,SDC,0.225912765631,0.189768459181,0.300812266031,0.0361443064497,0.325495923411,,,,,,,,
fives,clipseg-target,test,200,200,risk_nhd95,Normalized penalized HD95 risk,confidence_mean_max_probability,Mean max probability,0.27435111377,0.189768459181,0.300812266031,0.0845826545886,0.7617052854,,,,,,,,
fives,clipseg-target,test,200,200,risk_nhd95,Normalized penalized HD95 risk,confidence_negative_entropy,Negative entropy,0.249932543733,0.189768459181,0.300812266031,0.060164084552,0.541804953007,,,,,,,,
fives,clipseg-target,test,200,200,risk_nhd95,Normalized penalized HD95 risk,confidence_dice_exact,Dice-Exact,0.424577869237,0.189768459181,0.300812266031,0.234809410056,2.11456556396,,,,,,,,
fives,clipseg-target,test,200,200,risk_nhd95,Normalized penalized HD95 risk,confidence_qfr_entropy,QFR-Entropy,0.422722570662,0.189768459181,0.300812266031,0.232954111481,2.09785775623,,,,,,,,
fives,clipseg-target,test,200,200,risk_nhd95,Normalized penalized HD95 risk,confidence_plm10_entropy,PLM-10/PLA-10-Entropy,0.437903277204,0.189768459181,0.300812266031,0.248134818023,2.23456692509,,,,,,,,
fives,clipseg-target,test,200,200,risk_nhd95,Normalized penalized HD95 risk,confidence_mmmc_entropy,MMMC-Entropy,0.229721424957,0.189768459181,0.300812266031,0.039952965776,0.359794633392,,,,,,,,
fives,clipseg-target,test,200,200,risk_nhd95,Normalized penalized HD95 risk,confidence_foreground_entropy,Foreground entropy,0.250077893737,0.189768459181,0.300812266031,0.0603094345558,0.543113895918,,,,,,,,
fives,clipseg-target,test,200,200,risk_nhd95,Normalized penalized HD95 risk,confidence_dice_m2,Dice-M2,0.42144249458,0.189768459181,0.300812266031,0.231674035399,2.08633008874,,,,,,,,
fives,clipseg-target,test,200,200,risk_nhd95,Normalized penalized HD95 risk,confidence_dice_m8,Dice-M8,0.424796291179,0.189768459181,0.300812266031,0.235027831998,2.11653255292,,,,,,,,
fives,clipseg-target,test,200,200,risk_nhd95,Normalized penalized HD95 risk,confidence_dice_m32,Dice-M32,0.424594505802,0.189768459181,0.300812266031,0.234826046621,2.1147153838,,,,,,,,
fives,clipseg-target,test,200,200,risk_nhd95,Normalized penalized HD95 risk,confidence_nhd_m2,nHD-M2,0.254398327373,0.189768459181,0.300812266031,0.0646298681918,0.582021366388,,,,,,,,
fives,clipseg-target,test,200,200,risk_nhd95,Normalized penalized HD95 risk,confidence_nhd_m8,nHD-M8,0.324090935951,0.189768459181,0.300812266031,0.13432247677,1.20963501324,,,,,,,,
fives,clipseg-target,test,200,200,risk_nhd95,Normalized penalized HD95 risk,confidence_nhd_m32,nHD-M32,0.33649931842,0.189768459181,0.300812266031,0.146730859239,1.32137814257,,,,,,,,
fives,clipseg-target,test,200,200,risk_nhd95,Normalized penalized HD95 risk,confidence_nhd95_m2,nHD95-M2,0.257528048655,0.189768459181,0.300812266031,0.0677595894737,0.610205930397,,,,,,,,
fives,clipseg-target,test,200,200,risk_nhd95,Normalized penalized HD95 risk,confidence_nhd95_m8,nHD95-M8,0.272501751458,0.189768459181,0.300812266031,0.0827332922772,0.74505093642,,,,,,,,
fives,clipseg-target,test,200,200,risk_nhd95,Normalized penalized HD95 risk,confidence_nhd95_m32,nHD95-M32,0.263053043757,0.189768459181,0.300812266031,0.0732845845757,0.659961024884,,,,,,,,
fives,deeplabv3-target,test,200,200,risk_dice,Dice risk,confidence_sdc,SDC,0.413447196988,0.363586486739,0.429989891222,0.0498607102495,0.750875811828,,,,,,,,
fives,deeplabv3-target,test,200,200,risk_dice,Dice risk,confidence_mean_max_probability,Mean max probability,0.46285814794,0.363586486739,0.429989891222,0.0992716612011,1.49497848753,,,,,,,,
fives,deeplabv3-target,test,200,200,risk_dice,Dice risk,confidence_negative_entropy,Negative entropy,0.452276961337,0.363586486739,0.429989891222,0.0886904745978,1.33563143769,,,,,,,,
fives,deeplabv3-target,test,200,200,risk_dice,Dice risk,confidence_dice_exact,Dice-Exact,0.411066812354,0.363586486739,0.429989891222,0.0474803256156,0.715028483631,,,,,,,,
fives,deeplabv3-target,test,200,200,risk_dice,Dice risk,confidence_qfr_entropy,QFR-Entropy,0.412392281444,0.363586486739,0.429989891222,0.0488057947047,0.734989344064,,,,,,,,
fives,deeplabv3-target,test,200,200,risk_dice,Dice risk,confidence_plm10_entropy,PLM-10/PLA-10-Entropy,0.466123255498,0.363586486739,0.429989891222,0.102536768759,1.54414927303,,,,,,,,
fives,deeplabv3-target,test,200,200,risk_dice,Dice risk,confidence_mmmc_entropy,MMMC-Entropy,0.413903685397,0.363586486739,0.429989891222,0.0503171986581,0.757750284788,,,,,,,,
fives,deeplabv3-target,test,200,200,risk_dice,Dice risk,confidence_foreground_entropy,Foreground entropy,0.411654791184,0.363586486739,0.429989891222,0.0480683044451,0.723883132486,,,,,,,,
fives,deeplabv3-target,test,200,200,risk_dice,Dice risk,confidence_dice_m2,Dice-M2,0.409995855773,0.363586486739,0.429989891222,0.046409369034,0.698900446372,confidence_dice_exact,0.0170945823665,0.0149614713728,0.0358138934225,0.150958124821,0.990308250437,0.934368561234,0
fives,deeplabv3-target,test,200,200,risk_dice,Dice risk,confidence_dice_m8,Dice-M8,0.411045655802,0.363586486739,0.429989891222,0.0474591690636,0.714709877195,confidence_dice_exact,0.001305345832,0.000887565813812,0.00389145496301,0.011510268117,0.999762993897,0.990954319313,0
fives,deeplabv3-target,test,200,200,risk_dice,Dice risk,confidence_dice_m32,Dice-M32,0.411018379488,0.363586486739,0.429989891222,0.0474318927495,0.714299110394,confidence_dice_exact,0.000490440918904,0.000462839090831,0.000741060977864,0.00380313382372,0.999969999227,0.998190863863,0
fives,deeplabv3-target,test,200,200,risk_dice,Dice risk,confidence_nhd_m2,nHD-M2,0.41403836483,0.363586486739,0.429989891222,0.0504518780914,0.759778485516,,,,,,,,
fives,deeplabv3-target,test,200,200,risk_dice,Dice risk,confidence_nhd_m8,nHD-M8,0.408662955957,0.363586486739,0.429989891222,0.0450764692181,0.678827683141,,,,,,,,
fives,deeplabv3-target,test,200,200,risk_dice,Dice risk,confidence_nhd_m32,nHD-M32,0.406354795895,0.363586486739,0.429989891222,0.0427683091562,0.644068018635,,,,,,,,
fives,deeplabv3-target,test,200,200,risk_dice,Dice risk,confidence_nhd95_m2,nHD95-M2,0.403564564163,0.363586486739,0.429989891222,0.0399780774241,0.602048610838,,,,,,,,
fives,deeplabv3-target,test,200,200,risk_dice,Dice risk,confidence_nhd95_m8,nHD95-M8,0.402592823613,0.363586486739,0.429989891222,0.039006336874,0.587414714314,,,,,,,,
fives,deeplabv3-target,test,200,200,risk_dice,Dice risk,confidence_nhd95_m32,nHD95-M32,0.40426307221,0.363586486739,0.429989891222,0.0406765854713,0.612567771003,,,,,,,,
fives,deeplabv3-target,test,200,200,risk_nhd,Normalized penalized Hausdorff risk,confidence_sdc,SDC,0.103852350445,0.071434133644,0.104293161174,0.0324182168013,0.986584790796,,,,,,,,
